route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
91-15-B-j25-1,11,IR15,,IR,103
91-1-D-j25-1,11,IC1,,IC,102
91-1-M-j25-1,11,R1,,R,106
91-1-Y-j25-1,11,RE,,RE,106
91-2H-Y-j25-1,11,IC,,IC,102
91-2O-Y-j25-1,11,EC,,EC,102
91-2Q-Y-j25-1,11,IR,,IR,103
91-2-R-j25-1,11,R2,,R,106
91-33-C-j25-1,11,RE33,,RE,106
91-3N-Y-j25-1,11,SN,,SN,109
91-3-T-j25-1,11,R3,,R,106
91-41-Y-j25-1,11,SN,,SN,109
91-42-Y-j25-1,11,IC,,IC,102
91-43-Y-j25-1,11,IC,,IC,102
91-49-Y-j25-1,11,SN,,SN,109
91-4E-Y-j25-1,11,IC,,IC,102
91-4-L-j25-1,11,R4,,R,106
91-57-A-j25-1,11,IR57,,IR,103
91-59-Y-j25-1,11,R,,R,106
91-5-A-j25-1,11,IC5,,IC,102
91-5A-Y-j25-1,11,R,,R,106
91-5L-Y-j25-1,11,EXT,,EXT,117
91-8-J-j25-1,11,R8,,R,106
91-90-j25-1,11,IR90,,IR,103
91-95-j25-1,11,IR95,,IR,103
91-9-K-j25-1,11,R9,,R,106
91-9Y-Y-j25-1,11,EXT,,EXT,117
91-C-Y-j25-1,11,EXT,,EXT,117
91-D3-Y-j25-1,11,EXT,,EXT,117
91-FL-Y-j25-1,11,R,,R,106
91-m1-j25-1,151,m1,,M,401
91-T-Y-j25-1,11,EXT,,EXT,117
92-1-V-j25-1,151,1,,B,700
92-24-G-j25-1,151,24,,B,700
92-25-E-j25-1,151,25,,B,700
92-31-I-j25-1,151,31,,B,700
92-32-F-j25-1,151,32,,B,700
92-32-I-j25-1,151,32,,B,700
92-33-G-j25-1,151,33,,B,700
92-36-D-j25-1,151,36,,B,700
92-54-B-j25-1,151,54,,B,700
92-58-C-j25-1,151,58,,B,700
92-701-j25-1,764,701,,B,700
92-705-j25-1,764,705,,B,700
92-83-E-j25-1,151,83,,B,700
92-A03-I-j25-1,7231,EV,,EV,700
92-A05-7-j25-1,7231,EV,,EV,700
92-A05-C-j25-1,7231,EV,,EV,700
92-A05-F-j25-1,7231,EV1,,EV,700
92-N5-D-j25-1,151,N5,,BN,705
94-315-0-j25-1,184,3150,,BAT,1000
