station,station_name
Parent8501118,Renens VD
Parent8501210,"Lausanne, Bourdonnette"
Parent8501211,"Chavannes-R., UNIL-Chamberonne"
Parent8501212,"Chavannes-R., UNIL-Mouline"
Parent8501213,"Ecublens VD, UNIL-Sorge"
Parent8501214,"Ecublens VD, EPFL"
Parent8501215,"Ecublens VD, Bassenges"
Parent8501216,"Ecublens VD, Cerisaie"
Parent8501217,"Chavannes-R., Crochy"
Parent8501218,"Ecublens VD, Epenex"
Parent8501245,St-Sulpice VD (lac)
Parent8507227,"Chavannes-R., Cèdres"
Parent8510422,"Chavannes-R., Talluchet"
Parent8510525,"St-Sulpice VD, Castolin"
Parent8510526,"St-Sulpice VD, En Champagny"
Parent8510527,"St-Sulpice VD, Ochettaz-Ormet"
Parent8510528,"St-Sulpice VD, Pré-Fleuri"
Parent8510721,"Ecublens VD, Epenex/Pont-Bleu"
Parent8510727,"Ecublens VD, EPFL/Colladon"
Parent8511813,"Ecublens VD, Campus des médias"
Parent8530749,"Renens VD, gare"
Parent8579231,"St-Sulpice VD, Venoge sud"
Parent8579233,"Ecublens VD, EPFL (bus)"
Parent8579234,"Ecublens VD, EPFL Piccard"
Parent8588155,"St-Sulpice VD, Chantres"
Parent8588156,"St-Sulpice VD, Laviau"
Parent8588157,"St-Sulpice VD, Bochet"
Parent8588158,"St-Sulpice VD, centre"
Parent8588838,"Renens VD, gare nord"
Parent8588872,"Denges, Les Oches"
Parent8588873,"Ecublens VD, Pontet"
Parent8588983,"Renens VD, gare sud"
Parent8591933,"Chavannes-R., Planta"
Parent8591944,"Ecublens VD, Argand"
Parent8591945,"Ecublens VD, Champagne"
Parent8591946,"Ecublens VD, Cocarde"
Parent8591947,"Ecublens VD, Coquerellaz"
Parent8591948,"Ecublens VD, Croset"
Parent8591949,"Ecublens VD, En Enjalin"
Parent8591950,"Ecublens VD, allée de Dorigny"
Parent8591951,"Ecublens VD, Motty"
Parent8591952,"Ecublens VD, Ormet"
Parent8591953,"Ecublens VD, Parc"
Parent8591954,"Ecublens VD, Perrettes"
Parent8591955,"Ecublens VD, place de sport"
Parent8591956,"Ecublens VD, Renges"
Parent8591957,"Ecublens VD, Stand"
Parent8591958,"Ecublens VD, Suchet-Forêt"
Parent8591959,"Ecublens VD, Champs-Courbes"
Parent8591960,"Ecublens VD, Veilloud"
Parent8591961,"Ecublens VD, Villars"
Parent8592209,"Renens VD, Censuy"
Parent8592210,"Renens VD, Chêne"
Parent8592218,"Renens VD, Caudray"
Parent8592226,"St-Sulpice VD, Russel"
Parent8592227,"St-Sulpice VD, Pâqueret"
Parent8592239,"Denges, La Pale"
Parent8592242,"Denges, village"
Parent8592248,"Ecublens VD, Larges Pièces"
Parent8593866,"Chavannes-R., Préfaully"
Parent8593867,"Chavannes-R., Plaine"
Parent8593868,"Chavannes-R., Concorde"
Parent8593869,"Chavannes-R., Glycines"
Parent8594890,"Ecublens VD, Montaney"
Parent8594986,"Chavannes-R., Berges"
Parent8594987,"Chavannes-R., Mouline"
Parent8594988,"St-Sulpice VD, Venoge nord"
Parent8595223,"St-Sulpice VD, Parc Scient."
Parent8595521,"Lausanne, Bourdonnette nord"
Parent8595534,"Renens VD, piscine"
Parent8595602,"Chavannes-R., Dorigny"
Parent8595937,"Lausanne, sports UNIL-EPFL"
Parent8596053,"Ecublens VD, Blévallaire"
